id,name,income
08079,".Mineral County, Colorado",59500.00
08081,".Moffat County, Colorado",50180.00
08083,".Montezuma County, Colorado",52576.00
08085,".Montrose County, Colorado",55387.00
08087,".Morgan County, Colorado",40064.00
08089,".Otero County, Colorado",68900.00
08091,".Ouray County, Colorado",72121.00
08093,".Park County, Colorado",52367.00
08095,".Phillips County, Colorado",89034.00
08097,".Pitkin County, Colorado",42455.00
08099,".Prowers County, Colorado",48308.00
08101,".Pueblo County, Colorado",63411.00
08103,".Rio Blanco County, Colorado",44171.00
08105,".Rio Grande County, Colorado",81033.00
08107,".Routt County, Colorado",36869.00
08109,".Saguache County, Colorado",46878.00
08111,".San Juan County, Colorado",69458.00
08113,".San Miguel County, Colorado",40009.00
08115,".Sedgwick County, Colorado",80078.00
08117,".Summit County, Colorado",64850.00
08119,".Teller County, Colorado",47869.00
08121,".Washington County, Colorado",75629.00
08123,".Weld County, Colorado",53253.00
08125,".Yuma County, Colorado",91183.00
09001,"Fairfield County, Connecticut",73037.00
09003,"Hartford County, Connecticut",76304.00
09005,"Litchfield County, Connecticut",88709.00
09007,"Middlesex County, Connecticut",67720.00
09009,"New Haven County, Connecticut",67790.00
09011,"New London County, Connecticut",89584.00
09013,"Tolland County, Connecticut",65182.00
09015,"Windham County, Connecticut",54980.00
10001,".Kent County, Delaware",69562.00
10003,".New Castle County, Delaware",59821.00
10005,".Sussex County, Delaware",82533.00
11001,"District of Columbia, District of Columbia",82533.00
12001,"Alachua County, Florida",51026.00
12003,"Baker County, Florida",52804.00
12005,"Bay County, Florida",51777.00
12007,"Bradford County, Florida",45075.00
12009,"Brevard County, Florida",57612.00
12011,"Broward County, Florida",57200.00
12013,"Calhoun County, Florida",38323.00
12015,"Charlotte County, Florida",52724.00
12017,"Citrus County, Florida",41556.00
12019,"Clay County, Florida",62835.00
12021,"Collier County, Florida",70649.00
12023,"Columbia County, Florida",46195.00
12027,"DeSoto County, Florida",37233.00
12029,"Dixie County, Florida",37148.00
12031,"Duval County, Florida",55733.00
12033,"Escambia County, Florida",50644.00
12035,"Flagler County, Florida",58975.00
12037,"Franklin County, Florida",40297.00
12039,"Gadsden County, Florida",42259.00
12041,"Gilchrist County, Florida",42186.00
12043,"Glades County, Florida",38680.00
12045,"Gulf County, Florida",45426.00
12047,"Hamilton County, Florida",36299.00
12049,"Hardee County, Florida",39169.00
12051,"Hendry County, Florida",44391.00
12053,"Hernando County, Florida",45884.00
12055,"Highlands County, Florida",39994.00
12057,"Hillsborough County, Florida",58361.00
12059,"Holmes County, Florida",38040.00
