id,name,population
13087,"DeKalb County, Georgia",754906
13089,"Dodge County, Georgia",20793
13091,"Dooly County, Georgia",13709
13093,"Dougherty County, Georgia",89200
13095,"Douglas County, Georgia",145024
13097,"Early County, Georgia",10286
13099,"Echols County, Georgia",4000
13101,"Effingham County, Georgia",62228
13103,"Elbert County, Georgia",19095
13105,"Emanuel County, Georgia",22607
13107,"Evans County, Georgia",10702
13109,"Fannin County, Georgia",25981
13111,"Fayette County, Georgia",113181
13113,"Floyd County, Georgia",97964
13115,"Forsyth County, Georgia",236993
13117,"Franklin County, Georgia",23034
13119,"Fulton County, Georgia",1050131
13121,"Gilmer County, Georgia",30835
13123,"Glascock County, Georgia",2977
13125,"Glynn County, Georgia",84975
13127,"Gordon County, Georgia",57628
13129,"Grady County, Georgia",24774
13131,"Greene County, Georgia",17733
13133,"Gwinnett County, Georgia",927337
13135,"Habersham County, Georgia",45373
13137,"Hall County, Georgia",201538
13139,"Hancock County, Georgia",8368
13141,"Haralson County, Georgia",29561
13143,"Harris County, Georgia",34560
13145,"Hart County, Georgia",26071
13147,"Heard County, Georgia",11871
13149,"Henry County, Georgia",229728
13151,"Houston County, Georgia",155523
13153,"Irwin County, Georgia",9396
13155,"Jackson County, Georgia",70325
13157,"Jasper County, Georgia",14029
13159,"Jeff Davis County, Georgia",15048
13161,"Jefferson County, Georgia",15424
13163,"Jenkins County, Georgia",8765
13165,"Johnson County, Georgia",9706
13167,"Jones County, Georgia",28680
13169,"Lamar County, Georgia",18961
13171,"Lanier County, Georgia",10355
13173,"Laurens County, Georgia",47336
13175,"Lee County, Georgia",29751
13177,"Liberty County, Georgia",60606
13179,"Lincoln County, Georgia",7925
13181,"Long County, Georgia",19091
13183,"Lowndes County, Georgia",116309
13185,"Lumpkin County, Georgia",32899
13187,"McDuffie County, Georgia",21532
13189,"McIntosh County, Georgia",14322
13191,"Macon County, Georgia",13160
13193,"Madison County, Georgia",29642
13195,"Marion County, Georgia",8373
13197,"Meriwether County, Georgia",21094
13199,"Miller County, Georgia",5684
13201,"Mitchell County, Georgia",22135
13205,"Monroe County, Georgia",27503
13207,"Montgomery County, Georgia",9168
13209,"Morgan County, Georgia",18831
13211,"Murray County, Georgia",39943
13213,"Muscogee County, Georgia",194169
13215,"Newton County, Georgia",109421
13217,"Oconee County, Georgia",39478
13219,"Oglethorpe County, Georgia",15080
13221,"Paulding County, Georgia",164053
13223,"Peach County, Georgia",27363
13225,"Pickens County, Georgia",32014
13227,"Pierce County, Georgia",19388
13229,"Pike County, Georgia",18647
13231,"Polk County, Georgia",42346
13233,"Pulaski County, Georgia",11080
13235,"Putnam County, Georgia",21820
13237,"Quitman County, Georgia",2260
13239,"Rabun County, Georgia",16857
13241,"Randolph County, Georgia",6812
13243,"Richmond County, Georgia",201667
13245,"Rockdale County, Georgia",90505
13247,"Schley County, Georgia",5230
13249,"Screven County, Georgia",13960
13251,"Seminole County, Georgia",8270
13253,"Spalding County, Georgia",66107
13255,"Stephens County, Georgia",26007
13257,"Stewart County, Georgia",6435
13259,"Sumter County, Georgia",29796
13261,"Talbot County, Georgia",6290
13263,"Taliaferro County, Georgia",1612
13265,"Tattnall County, Georgia",25485
13267,"Taylor County, Georgia",8020
13269,"Telfair County, Georgia",15974
13271,"Terrell County, Georgia",8587
13273,"Thomas County, Georgia",44334
13275,"Tift County, Georgia",40542
13277,"Toombs County, Georgia",26902
13279,"Towns County, Georgia",11866
13281,"Treutlen County, Georgia",6813
13283,"Troup County, Georgia",70078
13285,"Turner County, Georgia",7908
13287,"Twiggs County, Georgia",8174
13289,"Union County, Georgia",23905
13291,"Upson County, Georgia",26185
13293,"Walker County, Georgia",69443
13295,"Walton County, Georgia",93202
13297,"Ware County, Georgia",35587
13299,"Warren County, Georgia",5247
13301,"Washington County, Georgia",20410
13303,"Wayne County, Georgia",29810
13305,"Webster County, Georgia",2606
13307,"Wheeler County, Georgia",7898
13309,"White County, Georgia",29988
13311,"Whitfield County, Georgia",104249
13313,"Wilcox County, Georgia",8827
13315,"Wilkes County, Georgia",9864
13317,"Wilkinson County, Georgia",9043
13319,"Worth County, Georgia",20302
13321,"Hawaii County, Hawaii",201509
15001,"Honolulu County, Hawaii",979858
15003,"Kalawao County, Hawaii",86
15007,"Kauai County, Hawaii",72168
15009,"Maui County, Hawaii",166972
16001,"Ada County, Idaho",468764
16003,"Adams County, Idaho",4234
16005,"Bannock County, Idaho",86674
16007,"Bear Lake County, Idaho",6044
16009,"Benewah County, Idaho",9218
16011,"Bingham County, Idaho",46129
16013,"Blaine County, Idaho",22771
16015,"Boise County, Idaho",7655
16017,"Bonner County, Idaho",44705
16019,"Bonneville County, Idaho",116444
16021,"Boundary County, Idaho",12016
16023,"Butte County, Idaho",2587
16025,"Camas County, Idaho",1121
16027,"Canyon County, Idaho",223236
16029,"Caribou County, Idaho",7037
16031,"Cassia County, Idaho",23791
16033,"Clark County, Idaho",851
16035,"Clearwater County, Idaho",8758
16037,"Custer County, Idaho",4250
16039,"Elmore County, Idaho",27362
16041,"Franklin County, Idaho",13704
16043,"Fremont County, Idaho",13155
16045,"Gem County, Idaho",17587
16047,"Gooding County, Idaho",15116
16049,"Idaho County, Idaho",16476
16051,"Jefferson County, Idaho",29405
16053,"Jerome County, Idaho",24066
16055,"Kootenai County, Idaho",161209
16057,"Latah County, Idaho",39829
16059,"Lemhi County, Idaho",7932
16061,"Lewis County, Idaho",3832
16063,"Lincoln County, Idaho",5398
16065,"Madison County, Idaho",39261
16067,"Minidoka County, Idaho",20719
16069,"Nez Perce County, Idaho",40256
16071,"Oneida County, Idaho",4462
16073,"Owyhee County, Idaho",11669
16075,"Payette County, Idaho",23507
16077,"Power County, Idaho",7700
16079,"Shoshone County, Idaho",12790
16081,"Teton County, Idaho",11651
16083,"Twin Falls County, Idaho",86029
16085,"Valley County, Idaho",11021
16087,"Washington County, Idaho",10115
17001,"Adams County, Illinois",65623
17003,"Alexander County, Illinois",6041
17005,"Bond County, Illinois",16637
17007,"Boone County, Illinois",53480
17009,"Brown County, Illinois",6563
17011,"Bureau County, Illinois",32959
17013,"Calhoun County, Illinois",4829
17015,"Carroll County, Illinois",14314
17017,"Cass County, Illinois",12312
17019,"Champaign County, Illinois",209918
17021,"Christian County, Illinois",32653
17023,"Clark County, Illinois",15600
17025,"Clay County, Illinois",13266
17027,"Clinton County, Illinois",37697
17029,"Coles County, Illinois",50829
17031,"Cook County, Illinois",5171960
17033,"Crawford County, Illinois",18830
17035,"Cumberland County, Illinois",10804
17037,"DeKalb County, Illinois",104349
17039,"De Witt County, Illinois",15794
17041,"Douglas County, Illinois",19458
17043,"DuPage County, Illinois",927247
17045,"Edgar County, Illinois",17360
17047,"Edwards County, Illinois",6387
17049,"Effingham County, Illinois",34181
17051,"Fayette County, Illinois",21368
17053,"Ford County, Illinois",13212
17055,"Franklin County, Illinois",38695
17057,"Fulton County, Illinois",34830
17059,"Gallatin County, Illinois",5045
17061,"Greene County, Illinois",13065
17063,"Grundy County, Illinois",50973
17065,"Hamilton County, Illinois",8148
17067,"Hancock County, Illinois",17828
17069,"Hardin County, Illinois",3893
17071,"Henderson County, Illinois",6697
17073,"Henry County, Illinois",49069
17075,"Iroquois County, Illinois",27484
17077,"Jackson County, Illinois",57289
17079,"Jasper County, Illinois",9624
17081,"Jefferson County, Illinois",37708
17083,"Jersey County, Illinois",21795
17085,"Jo Daviess County, Illinois",21331
17087,"Johnson County, Illinois",12423
17089,"Kane County, Illinois",532720
17091,"Kankakee County, Illinois",109953
17093,"Kendall County, Illinois",127717
17095,"Knox County, Illinois",49978
17097,"Lake County, Illinois",699587
17099,"LaSalle County, Illinois",109159
17101,"Lawrence County, Illinois",15813
17103,"Lee County, Illinois",34296
17105,"Livingston County, Illinois",35714
17107,"Logan County, Illinois",28912
